,jssdistrict,point_x,point_y
118,Hohoe,0.466238558,7.030594826
119,Kadjebi,0.496497512,7.721589088
120,Keta,0.853055775,5.907464027
121,Kete Krachie,-0.089903578,8.053443909
122,Ketu (Denu),1.032708645,6.111227512
123,Kpando,0.267385125,6.89685154
124,Nkwanta,0.402096868,8.323553085
125,North Tongu (Adidome),0.407175899,6.13318634
126,South Tongu (Sogakope),0.645589471,5.960537434
127,Wassa Amenfi East (Wassa Akropong),-2.02211833,5.833886147
128,Bia (Essam),-3.043543816,6.737386227
129,Ahanta West (Agona Ahanta),-1.990561366,4.834703922
130,Aowin Suaman (Enchi),-2.78972435,5.78654623
131,Bibiani/Anhwiaso/Bekwai (Bibiani),-2.223546028,6.259892464
132,Jomoro (Half Assini),-2.803220272,5.069507599
133,Juaboso Bia (Juaboso),-2.926683426,6.359212875
134,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
135,Nzema East (Axim),-2.311802149,5.141225815
136,Sefwi Wiawso,-2.637861013,6.25838995
137,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
138,Wassa Amenfi (Asankragwa),-2.302017927,5.72551775
139,Wassa West (Tarkwa),-1.988853216,5.276049137
