"","Group.1","Cutoff_Average","Cutoff_sd","Quality_Average","Quality_sd","Dist_Average","Dist_sd"
"1","1",265.413982514228,46.1443332135542,291.378830120341,39.927633758141,49.1307509445063,47.3756467592832
"2","2",275.001724187893,47.9491747367795,300.189180598937,41.345672704609,50.2506707529195,49.2911849721549
"3","3",287.547316384181,50.2172971090161,311.776876975868,43.4277819537252,50.524151729073,48.3291367123395
"4","4",309.392538469309,53.825813845752,332.190194293132,47.0750303521226,51.4013483757197,46.7919663621803
