"","Group.1","Cutoff_Average","Cutoff_sd","Quality_Average","Quality_sd","Dist_Average","Dist_sd"
"1",1,269.959169890096,52.978483051809,296.586618594622,46.5900656233086,70.1727750148599,68.6189659312735
"2",2,277.23709004603,55.5513283339647,303.034766264533,48.943152167663,64.8124802889399,63.4390468421177
"3",3,278.85106302202,55.6209075877106,304.396156522121,48.9041828258413,61.2620171946592,59.3027501668932
"4",4,280.589692238525,55.1421006844824,305.634656399639,48.4987728533427,58.4640448970007,56.5939128075226
"5",5,279.060565960912,54.5405293677003,304.476972529237,47.3235989269765,45.8492717973304,45.7126036656249
"6",6,279.989281754343,52.4923661603753,304.665984226921,45.8347534540946,45.2027356788585,47.868984004069
